ID,a1,a2,a3,b1,b2,b3,c1,o1,o2
0,1.5560016110554362,50.235804697008305,0.6876039529183514,2,2,1,1,3,1
1,1.613929470600963,52.03705588263582,0.7274904964425621,2,2,1,0,2,1
2,1.5754063170571326,50.83793205875003,0.707353358249949,3,3,1,1,3,2
3,1.6458005858659495,53.00931733368167,0.7213625998035443,3,3,1,1,1,2
4,1.631966829348199,52.60935402764261,0.6986183220578353,1,1,0,0,1,0
5,1.6240838508808113,52.34290446658727,0.7050073697082263,1,1,0,1,2,1
6,1.6880085885070097,54.32998035297509,0.7432988785782635,4,4,1,0,0,2
7,1.681719839696718,54.14266299549395,0.7410433934086113,0,0,0,1,1,0
8,1.4212472248772472,46.08029353379292,0.6540869167249168,0,0,0,0,4,0
9,1.6053667929441853,51.777133132606124,0.7138717452691349,2,2,1,1,2,1
10,1.6429509361188286,52.937639091697626,0.7217559843198299,3,3,1,0,1,1
11,1.545184683189919,49.90004743075192,0.7079836861592143,0,0,0,1,3,0
12,1.5954169189695313,51.456418625556864,0.6919303803601494,3,3,1,1,2,2
13,1.6167620320026372,52.137688540648675,0.7197534993161525,2,2,1,1,2,1
14,1.6044525533767608,51.757182667349916,0.6996072450640892,2,2,0,1,2,1
15,1.5008066839789553,48.52922890325136,0.6608857477793088,1,1,0,0,4,0
16,1.621025664625336,52.2519003791461,0.7151456661449811,4,4,1,0,2,2
17,1.535054290519557,49.59275596664803,0.695105183794173,3,3,1,0,3,1
18,1.6884420106977376,54.334033537291354,0.7563583257292822,3,3,1,1,0,2
19,1.6404040955466235,52.83843352373056,0.7269004826630323,4,4,1,0,1,2
20,1.5600541183333356,50.358537359494235,0.7040993775123199,1,1,0,0,3,0
21,1.5793364403322405,50.94459198945574,0.7042667145611446,4,4,1,0,2,2
22,1.6069276876696719,51.81601173353264,0.7127989614631647,1,1,0,0,2,0
23,1.6852633912094306,54.24627730146477,0.7404762297344076,1,1,0,0,1,0
24,1.602537652660554,51.67138212206571,0.722114183448784,4,4,1,0,2,2
25,1.565453685203393,50.509469312694286,0.6942275408932511,0,0,0,0,3,0
26,1.4852635074937293,48.02753388080593,0.6624204320193644,0,0,0,0,4,0
27,1.5959605379295159,51.494212466424685,0.7083593930446048,2,2,1,0,2,1
28,1.7339500943615371,55.75818529952343,0.7630342083006293,0,0,0,0,0,0
29,1.6303100047929695,52.540684019008616,0.7411899736013586,0,0,0,1,1,0
30,1.7461758901884106,56.133818573765524,0.7764586359093679,2,2,0,1,0,1
31,1.881789282387709,60.33808924042602,0.8197430953227157,3,3,1,0,0,2
32,1.568410318620761,50.63091353217379,0.6981373757147249,0,0,0,0,3,0
33,1.3937874890935986,45.198788538520134,0.6367553259293514,2,2,1,1,4,1
34,1.5948818353443561,51.43664042032548,0.718104209650976,2,2,1,1,2,1
35,1.7725927668308898,56.94984056520935,0.787867956976334,4,4,1,0,0,2
36,1.6460287828874252,53.03678346184523,0.7165379842450819,4,4,1,1,1,2
37,1.6450547175447845,52.98724910551261,0.7192785820318471,1,1,0,1,1,1
38,1.478481743808984,47.83765063577137,0.6508411876055514,2,2,1,0,4,1
39,1.6197224819110059,52.21809205780655,0.7215036582159586,0,0,0,0,2,0
40,1.5072692423423035,48.718494411169154,0.6628300796952697,2,2,0,0,4,1
41,1.628393558609316,52.49417541456265,0.6870919227974314,3,3,1,0,2,1
42,1.7279318148312721,55.57209090226623,0.7711333627291281,4,4,1,1,0,2
43,1.5545275701065253,50.162884599360474,0.6933602623485349,3,3,1,1,3,2
44,1.7680578922303114,56.79567613781026,0.7750416883263227,2,2,1,0,0,1
45,1.622434255532977,52.281240131493114,0.7204455329684053,2,2,1,1,2,1
46,1.676025731027814,53.94870424263549,0.7385714347879738,1,1,0,1,1,1
47,1.7095049338892059,54.99280692125195,0.7445867239011382,3,3,1,0,0,2
48,1.6116560621053722,51.938625666863004,0.7050092079084398,3,3,1,1,2,2
49,1.43851484872346,46.612743969792206,0.6489286007156004,1,1,0,1,4,0
50,1.8415534207952058,59.086674418041,0.8158243674207512,4,4,1,0,0,2
51,1.6084575232080032,51.87974623976968,0.7064393735016471,1,1,0,1,2,1
52,1.6212019696051077,52.26443341265682,0.7326078843588498,1,1,0,0,2,0
53,1.643842906165612,52.96121244218893,0.719990830411534,3,3,1,1,1,2
54,1.4692577223612309,47.545246239964726,0.6471468141205394,0,0,0,1,4,0
55,1.5854331895833211,51.12375698831938,0.7164115420003592,1,1,0,1,2,1
56,1.593439130711013,51.40319375828981,0.730276072981675,1,1,0,1,2,1
57,1.600537643501132,51.61311929479563,0.7169384267174389,2,2,1,1,2,1
58,1.6921929143146037,54.468850429021764,0.7497217794511537,2,2,1,0,0,1
59,1.6684184115931462,53.722354569283105,0.7162571504314879,4,4,1,0,1,2
60,1.6606844791268334,53.477825948053415,0.7351426670703802,2,2,1,1,1,1
61,1.4126944077409147,45.79152297180633,0.6298920780027207,0,0,0,1,4,0
62,1.6759986229767994,53.934153880341924,0.7634327097617111,1,1,0,0,1,0
63,1.930864836107575,61.84783803306204,0.8447957891628896,1,1,0,0,0,0
64,1.528048991928055,49.377682263910934,0.6945696645833341,2,2,1,1,3,1
65,1.6673797255802958,53.69343063517498,0.7478050041129553,2,2,1,0,1,1
66,1.6965887023664417,54.60841360954045,0.7458687554332861,3,3,1,0,0,2
67,1.5348885732016004,49.57972959339325,0.6836880960208287,4,4,1,0,3,2
68,1.7224196421481195,55.38172473388044,0.746452900084184,0,0,0,1,0,0
69,1.6098368807510932,51.91464505144284,0.7097147398354245,3,3,1,0,2,1
70,1.4428597330112292,46.72322338357811,0.6602635164554403,1,1,0,0,4,0
71,1.3707610133430832,44.47661425482167,0.6278703532106575,2,2,0,0,4,1
72,1.4411525225867372,46.68535359591012,0.6513349435168458,4,4,1,0,4,2
73,1.7680715230356023,56.79833304887263,0.7760684219808862,1,1,0,0,0,0
74,1.6437358637507307,52.95652280512184,0.7372444965893655,0,0,0,1,1,0
75,1.6349577558894166,52.69715982329524,0.7201097776779789,3,3,1,0,1,2
76,1.6280293149323226,52.47163559400811,0.7219547905342432,2,2,0,0,2,1
77,1.6453053689020842,53.01096727937923,0.7438837856595395,1,1,0,1,1,1
78,1.593419129539767,51.40314721567431,0.7147657621538283,1,1,0,1,2,1
79,1.501337098353495,48.56195805118597,0.6419164268405326,1,1,0,0,4,0
80,1.6835615409249556,54.199686607184724,0.7573903083832018,3,3,1,0,1,2
81,1.528380115130021,49.37767185722758,0.677253662198705,4,4,1,0,3,2
82,1.58800906661037,51.20939013891148,0.6966038516765287,2,2,1,1,2,1
83,1.6197737986412262,52.22486449984891,0.7259523917197845,1,1,0,0,2,0
84,1.6890021573690586,54.36365992061277,0.7416463839855477,4,4,1,1,0,2
85,1.5883639734652164,51.224367361567495,0.7002658231779793,4,4,1,1,2,2
86,1.6907640100909747,54.438372430147915,0.7364664426824501,4,4,1,1,0,2
87,1.4586238851283801,47.21911424044466,0.6723058041392427,1,1,0,0,4,0
88,1.6429936589219671,52.94018937601324,0.7297757175090303,1,1,0,1,1,1
89,1.5480295486314593,49.98939408419008,0.6968771551303874,3,3,1,1,3,2
90,1.7604689790053767,56.55964281745541,0.7632015960587114,2,2,1,1,0,1
91,1.4657773146870574,47.444459131036844,0.6442038560426735,1,1,0,1,4,0
92,1.7351795943104575,55.785594025051864,0.7503878520663523,1,1,0,1,0,1
93,1.6489882644969016,53.123570861217395,0.7168369803405943,4,4,1,0,1,2
94,1.6307142132587555,52.55386828647119,0.7083313538688696,1,1,0,0,1,0
95,1.7960050730985488,57.6701313173187,0.7811942180455596,0,0,0,1,0,0
96,1.5697919541745573,50.65696281734978,0.7088049952608841,0,0,0,0,3,0
97,1.6499337291009597,53.141011772850746,0.7080807593386106,3,3,1,1,1,2
98,1.5864443248037952,51.17615456485595,0.7083713141475102,0,0,0,1,2,0
99,1.654144870324189,53.26705365339181,0.7454528483761088,1,1,0,1,1,1
100,1.4997227175514027,48.488534162869094,0.6508240049335225,0,0,0,0,4,0
101,1.531522457248518,49.47256405331822,0.6836546909646601,4,4,1,0,3,2
102,1.805408300491614,57.96555618149528,0.7649624816377297,2,2,0,0,0,1
103,1.5808823422029326,51.001945648767574,0.7014665719878641,3,3,1,0,2,1
104,1.5235833713935292,49.23909565809253,0.6751046379447172,4,4,1,0,4,2
105,1.5067812511581244,48.70719952103572,0.6666229169475106,2,2,1,0,4,1
106,1.4741936407326133,47.71438318115631,0.6761601953696601,4,4,1,0,4,2
107,1.6555361559564665,53.320688075401335,0.7193839651556027,4,4,1,0,1,2
108,1.471503999233482,47.61161322849801,0.6365411656242612,1,1,0,1,4,0
109,1.7110313262114565,55.040745032014854,0.752156426260458,0,0,0,0,0,0
110,1.6478854716346927,53.09291752789448,0.7281933759032422,3,3,1,1,1,2
111,1.6530762680258047,53.24999448998231,0.7226347947712308,2,2,1,1,1,1
112,1.6048775510199307,51.74886006632895,0.7187957697436157,1,1,0,0,2,0
113,1.6991656359274092,54.67699074792165,0.7507808544616705,0,0,0,0,0,0
114,1.723636479890041,55.42715640766201,0.7717791945094813,0,0,0,1,0,0
115,1.656461340544897,53.339073312612214,0.720924792619899,2,2,0,1,1,1
116,1.5238862344110649,49.23907261481899,0.6828968907213053,0,0,0,0,3,0
117,1.675851108860655,53.93227252613774,0.7514459202176101,3,3,1,1,1,2
118,1.5427592518064568,49.832808491020536,0.6881518497818643,5,5,2,1,3,3
119,1.6815180510008378,54.11873685391085,0.7237933497175909,0,0,0,1,1,0
120,1.511809025639243,48.869069991336495,0.6864463718106557,4,4,1,1,4,2
121,1.55367630308061,50.15317257138249,0.6945678142117857,0,0,0,1,3,0
122,1.6476957665704421,53.07943842740409,0.721245666177517,0,0,0,1,1,0
123,1.6547862193657799,53.30620411318271,0.7347724853760257,2,2,0,0,1,1
124,1.6575758599269588,53.38848488495969,0.712609271912629,4,4,1,0,1,2
125,1.7977681323937331,57.748950128685294,0.7895958909191623,0,0,0,0,0,0
126,1.7071584765511199,54.91981764896938,0.7456214105400166,3,3,1,0,0,2
127,1.510338887423681,48.81121468128544,0.6651961132794579,0,0,0,1,4,0
128,1.65449912750205,53.31319046780079,0.7177948299690495,1,1,0,0,1,0
129,1.540472798777664,49.75446312525081,0.6904359684908298,2,2,0,0,3,1
130,1.2664609015811552,41.24725000971743,0.5830424262738287,2,2,1,0,5,1
131,1.566975020214383,50.5715254957132,0.7186946502962512,0,0,0,1,3,0
132,1.6636047334301707,53.56499267361148,0.7160927104021337,1,1,0,0,1,0
133,1.6839278384320127,54.19267304589,0.7493879358243275,3,3,1,1,1,2
134,1.64157995981308,52.8917065971775,0.7310588514721748,1,1,0,1,1,1
135,1.620245022992117,52.22315615072841,0.7142318751789616,1,1,0,0,2,0
136,1.520221795339448,49.1309693875786,0.6816026517496944,4,4,1,0,4,2
137,1.784182773575834,57.30603564976935,0.7826104643513238,3,3,1,1,0,2
138,1.7555951832279302,56.42767120884942,0.7798180874586357,2,2,0,1,0,1
139,1.5274048789025334,49.357700168542,0.677162233393488,3,3,1,1,3,2
140,1.73543777308489,55.8115677953367,0.7596311388563488,0,0,0,0,0,0
141,1.711993326685758,55.070842008341295,0.7418745906394852,3,3,1,1,0,2
142,1.6245581874911952,52.3645141547006,0.7336890669503113,0,0,0,1,2,0
143,1.613939363527638,52.04035196217026,0.7068529543922676,0,0,0,0,2,0
144,1.4820769291476759,47.94380234811431,0.6564398202475754,3,3,1,0,4,1
145,1.6432040974814681,52.938619503064345,0.7352999699786688,3,3,1,0,1,2
146,1.5170167022855636,49.018163798374964,0.6717880146172928,1,1,0,0,4,0
